Customer_ID,Street,City,State_Code,Postal_Code,Country,Seasonality_Segment,EA_Segment,Revenue_Bucket,Profit_Bucket,Market_Share_Segment,Casino_Size_Segment,Market_Potential_Segment,Churn_Segment,Competitiveness_Flag,Volume_Segment,Density_Segment,Propensity,tier,Segment,avf_score,avf_outlier,dist_to_medoid,centroid_outlier,outlier_any_method
Accoount 1140,5700 PACIFIC HWY E,FIFE,WA,98424,USA,None,None,None,None,L,H,VH,None,Yes,High,Low,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.22280419016921837,True,,False,True
Accoount 1165,777 CASINO AVENUE,THACKERVILLE,OK,73459,USA,Highly Seasonal,Trend Follower,H,H,M,H,VH,Encouraging,Not_Assigned,Medium,High,Not_Assigned,2,Premium Large-Format Growth Leaders,0.27162234756916465,False,0.4444444444444444,True,True
Accoount 1214,13603 US HIGHWAY 64,DULCE,NM,87529,USA,None,None,None,None,H,L,L,None,Not_Assigned,Low,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.23630136986301367,True,,False,True
Accoount 1219,5223 NORTH ORIENT RD.,TAMPA,FL,33610,USA,Non Seasonal,Early Adopter,H,H,L,H,VH,Encouraging,Not_Assigned,Medium,High,H,2,Premium Large-Format Growth Leaders,0.23851732473811446,True,0.5,True,True
Accoount 1309,1 MAIN STREET,LAS VEGAS,NV,89101,USA,Non Seasonal,Early Adopter,M,H,M,L,M,Minimal Change,Yes,High,High,H,2,Mid-Format High-Potential Accounts,0.40021488047273696,False,0.4,True,True
Accoount 1310,158 HOWARD AVENUE,BILOXI,MS,39530,USA,Potentially Seasonal,Early Adopter,M,H,M,L,M,Minimal Change,Yes,High,Low,H,2,Mid-Format High-Potential Accounts,0.38920225624496374,False,0.5,True,True
Accoount 1333,2402 AUBURN WAY S,AUBURN,WA,98002,USA,Potentially Seasonal,Late Adopter,L,L,L,H,VH,Minimal Change,Yes,High,Low,L,2,Premium Large-Format Growth Leaders,0.2745098039215686,False,0.45454545454545453,True,True
Accoount 1356,2402 AUBURN WAY SOUTH,AUBURN,WA,98002,USA,None,None,None,None,L,M,H,None,Yes,High,Low,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.24711254364759605,True,,False,True
Accoount 1424,2752 HWY N 36,UPPER FRUITLAND,NM,87416,USA,None,None,None,None,L,M,H,None,Not_Assigned,Medium,High,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2361670695675531,True,,False,True
Accoount 1439,3400 CHOCTAW RD,POCOLA,OK,74902,USA,Potentially Seasonal,Early Adopter,M,H,H,H,H,Minimal Change,Not_Assigned,Medium,High,M,2,Mid-Format High-Potential Accounts,0.37785388127853886,False,0.4444444444444444,True,True
Accoount 1440,188 N RENFREW ST,VANCOUVER,BC,V5K 3N8,CAN,None,None,None,None,H,L,L,None,Not_Assigned,Medium,High,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2596024711254365,True,,False,True
Accoount 1510,10200 QUIL CEDA BLVD,TULALIP,WA,98271,USA,Not_Assigned,None,None,None,L,H,VH,None,Yes,High,Low,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.22878055331721733,True,,False,True
Accoount 1546,902 S 1ST STREET,MADILL,OK,73446,USA,Not_Assigned,None,L,L,L,L,M,Minimal Change,Not_Assigned,Medium,High,Not_Assigned,2,Small-Format Steady Base,0.38221864088100993,False,0.42857142857142855,True,True
Accoount 1579,27100 S.W. SALMON RIVER HWY,GRAND RONDE,OR,97347,USA,Highly Seasonal,Early Adopter,H,H,H,H,H,Encouraging,Yes,Medium,Not_Assigned,M,2,Premium Large-Format Growth Leaders,0.27162234756916465,False,0.7,True,True
Accoount 1593,6101 31ST AVE NE,TULALIP,WA,98271,USA,Not_Assigned,None,None,None,L,M,H,None,Yes,High,Low,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.253088906795595,True,,False,True
Accoount 1608,4020 OLIVE HIGHWAY,OROVILLE,CA,95966,USA,Potentially Seasonal,Late Adopter,M,H,M,M,H,Encouraging,Not_Assigned,Medium,Low,M,2,Mid-Format High-Potential Accounts,0.3109051839914048,False,0.4444444444444444,True,True
Accoount 1625,"INDIANA GRAND RACING CASINO, 4300 N MICHIGAN RD",SHELBYVILLE,IN,46176,USA,Non Seasonal,Late Adopter,M,H,L,H,VH,Encouraging,Yes,Medium,Not_Assigned,H,2,Premium Large-Format Growth Leaders,0.22408004297609455,True,0.4,True,True
Accoount 1704,902 W MAIN ST,WILBURTON,OK,74578,USA,None,None,None,None,H,L,L,None,Not_Assigned,Low,Medium,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.23468976631748587,True,,False,True
Accoount 1708,777 BALLY BLVD,ROCK ISLAND,IL,61201,USA,Highly Seasonal,Early Adopter,M,H,H,M,H,Minimal Change,Not_Assigned,Medium,Low,M,2,Mid-Format High-Potential Accounts,0.33387053451517595,False,0.4444444444444444,True,True
Accoount 1719,129 ONEIDA STREET,WYANDOTTE,OK,74370,USA,Not_Assigned,None,None,None,H,L,L,None,Not_Assigned,Medium,Medium,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.26490733279613216,True,,False,True
Accoount 1757,12819 YELM HIGHWAY SOUTHEAST,OLYMPIA,WA,98513,USA,Not_Assigned,None,None,None,L,H,VH,None,Not_Assigned,Medium,Not_Assigned,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.21877518130539889,True,,False,True
Accoount 1788,1100 CASINO STRIP BLVD.,ROBINSONVILLE,MS,38664,USA,None,None,None,None,H,M,H,None,Yes,High,Low,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.24791834542035993,True,,False,True
Accoount 1857,12888 188TH AVE SW,ROCHESTER,WA,98579,USA,Potentially Seasonal,None,L,L,L,M,H,Minimal Change,Not_Assigned,Medium,Not_Assigned,L,2,Mid-Format High-Potential Accounts,0.32037335482138063,False,0.5,True,True
Accoount 1861,54 JEMEZ DAM RD,SANTA ANA PUEBLO,NM,87004,USA,Not_Assigned,Not_Assigned,M,H,H,H,H,Minimal Change,Not_Assigned,High,Medium,M,2,Mid-Format High-Potential Accounts,0.36717700778941714,False,0.4444444444444444,True,True
Accoount 1917,901 SOUTH FEDERAL HIGHWAY,HALLANDALE,FL,33009,USA,Non Seasonal,Early Adopter,M,H,M,L,M,Minimal Change,Yes,High,High,H,2,Mid-Format High-Potential Accounts,0.40021488047273696,False,0.4,True,True
Accoount 1945,875 BEACH BOULEVARD,BILOXI,MS,39530,USA,Non Seasonal,Trend Follower,H,M,M,M,H,Minimal Change,Yes,High,Low,H,2,Mid-Format High-Potential Accounts,0.2601396723072791,True,0.4,True,True
Accoount 2334,10777 NORTHFIELD ROAD,NORTHFIELD,OH,44067,USA,None,None,None,None,L,H,VH,None,Not_Assigned,Medium,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.21279881815739995,True,,False,True
Accoount 2530,7889 HIGHWAY 57,ST. MICHAEL,ND,58370,USA,Not_Assigned,None,None,None,H,M,H,None,Not_Assigned,Low,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.26410153102336825,True,,False,True
Accoount 2531,27867 HWY 21,TOMAH,WI,54660,USA,None,None,None,None,H,L,L,None,Not_Assigned,Low,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.23630136986301367,True,,False,True
Accoount 2533,1137 S. MAIN ST.,TONOPAH,NV,89049,USA,None,None,None,None,L,L,M,None,Not_Assigned,Low,Medium,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.24979854955680902,True,,False,True
Accoount 2535,1200 FUTURITY DR,SUNLAND PARK,NM,88063,USA,Not_Assigned,None,L,H,L,M,H,Concerning,Not_Assigned,Low,Not_Assigned,Not_Assigned,2,Mid-Format High-Potential Accounts,0.34313725490196084,False,0.42857142857142855,True,True
Accoount 2575,RT 1 42K,DEVOL,OK,73531,USA,Highly Seasonal,Early Adopter,M,H,H,M,H,Minimal Change,Not_Assigned,Medium,Medium,M,2,Mid-Format High-Potential Accounts,0.3451517593338706,False,0.4444444444444444,True,True
Accoount 2636,70220 E HIGHWAY 60,WYANDOTTE,OK,74370,USA,Highly Seasonal,Early Adopter,M,H,H,M,H,Encouraging,Not_Assigned,Medium,Medium,M,2,Mid-Format High-Potential Accounts,0.2864625302175665,False,0.5555555555555556,True,True
Accoount 2639,JUNCTION HWY 2 & 89 WEST,BROWNING,MT,59417,USA,Non Seasonal,Not_Assigned,None,None,None,None,None,Minimal Change,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1c,Partially Profiled (Mixed/Incomplete),0.2615498254096159,True,,False,True
Accoount 2669,951 West 36th Street North,Tulsa,OK,74127,USA,Highly Seasonal,Trend Follower,H,H,H,H,H,Minimal Change,Not_Assigned,Medium,High,M,2,Premium Large-Format Growth Leaders,0.3323932312651088,False,0.6,True,True
Accoount 2684,3790 LAS VEGAS BLVD. SOUTH,LAS VEGAS,NV,89109,USA,Highly Seasonal,Trend Follower,M,M,L,M,H,Minimal Change,Yes,High,High,H,2,Mid-Format High-Potential Accounts,0.2812919688423315,False,0.4,True,True
Accoount 2686,16300 NYEMII PASS ROAD,VALLEY CENTER,CA,92082,USA,Non Seasonal,Trend Follower,H,H,H,H,H,Minimal Change,Not_Assigned,High,Medium,M,2,Premium Large-Format Growth Leaders,0.32346226161697555,False,0.6,True,True
Accoount 2694,3513 MARKET STREET,Pine Bluff,AR,71601,USA,Potentially Seasonal,None,H,H,H,H,H,Concerning,Yes,Medium,Not_Assigned,H,2,Premium Large-Format Growth Leaders,0.2788745635240398,False,0.5,True,True
Accoount 2702,15347 SUQUAMISH WAY NORTHEAST,SUQUAMISH,WA,98392,USA,Potentially Seasonal,Early Adopter,None,None,L,M,H,Concerning,Yes,Medium,Not_Assigned,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2136717700778942,True,,False,True
Accoount 2711,421 NW RIVERSIDE,EVANSVILLE,IN,47708,USA,Potentially Seasonal,Early Adopter,M,H,M,M,H,Encouraging,Not_Assigned,Low,Not_Assigned,H,2,Mid-Format High-Potential Accounts,0.30217566478646257,False,0.5,True,True
Accoount 2736,3800 S. CARSON STREET,CARSON CITY,NV,89701,USA,Non Seasonal,Early Adopter,M,H,M,M,H,Encouraging,Not_Assigned,Medium,Medium,M,2,Mid-Format High-Potential Accounts,0.31070373354821385,False,0.4444444444444444,True,True
Accoount 2750,2315 EAST GORE BLVD.,LAWTON,OK,73502,USA,Potentially Seasonal,Trend Follower,L,M,H,M,H,Minimal Change,Not_Assigned,Medium,Medium,M,2,"Mature Small-Format, Low-Headroom Accounts",0.32104485629868384,False,0.5,True,True
Accoount 2754,6800 SOARING EAGLE BLVD.,MT. PLEASANT,MI,48858,USA,Highly Seasonal,Early Adopter,M,H,L,H,VH,Minimal Change,Yes,Medium,Not_Assigned,M,2,Premium Large-Format Growth Leaders,0.32816277195809834,False,0.4,True,True
Accoount 2757,2400 MYSTIC LAKE BLVD.,PRIOR LAKE,MN,55372,USA,Potentially Seasonal,Early Adopter,M,H,H,H,H,Minimal Change,Yes,High,Medium,M,2,Mid-Format High-Potential Accounts,0.37785388127853886,False,0.4,True,True
Accoount 2768,4216 SOUTH HIGHWAY 69/75,DURANT,OK,74701,USA,Highly Seasonal,Early Adopter,H,M,H,H,H,Minimal Change,Not_Assigned,High,High,H,2,Premium Large-Format Growth Leaders,0.2653102336825141,True,0.5,True,True
Accoount 2771,12885 CASINO DR,ANACORTES,WA,98221,USA,Potentially Seasonal,Trend Follower,None,None,L,M,H,Minimal Change,Yes,Low,Not_Assigned,L,1b,"Territory-Scored, Revenue Not Yet Tracked",0.25973677142089713,True,,False,True
Accoount 2817,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,M,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2617512758528069,True,,False,True
Accoount 2823,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,M,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2617512758528069,True,,False,True
Accoount 2824,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,H,L,L,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2191780821917808,True,,False,True
Accoount 2825,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.23428686543110397,True,,False,True
Accoount 2826,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.23428686543110397,True,,False,True
Accoount 2827,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.23428686543110397,True,,False,True
Accoount 2847,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.23428686543110397,True,,False,True
Accoount 2849,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,M,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2617512758528069,True,,False,True
Accoount 2854,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.23428686543110397,True,,False,True
Accoount 2855,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,M,M,H,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.24543378995433793,True,,False,True
Accoount 2868,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,M,H,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.21796937953263498,True,,False,True
Accoount 2869,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,M,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2617512758528069,True,,False,True
Accoount 2872,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,M,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2617512758528069,True,,False,True
Accoount 2873,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,M,M,H,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.24543378995433793,True,,False,True
Accoount 2891,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.23428686543110397,True,,False,True
Accoount 2892,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,H,VH,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.1936610260542573,True,,False,True
Accoount 2893,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,M,M,H,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.24543378995433793,True,,False,True
Accoount 2901,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,H,VH,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.1936610260542573,True,,False,True
Accoount 2922,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,M,H,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.21796937953263498,True,,False,True
Accoount 2926,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,M,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2617512758528069,True,,False,True
Accoount 2987,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,L,M,H,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.21796937953263498,True,,False,True
Accoount 2994,No Address Found,No Address Found,No Address Found,None,No Address Found,None,None,None,None,M,L,M,None,Not_Assigned,Not_Assigned,Not_Assigned,Not_Assigned,1b,"Territory-Scored, Revenue Not Yet Tracked",0.2617512758528069,True,,False,True
Accoount 3005,No Address Found,Tishomingo,OK,73460,USA,Non Seasonal,Late Adopter,None,None,None,None,None,Concerning,Not_Assigned,Low,Medium,Not_Assigned,1c,Partially Profiled (Mixed/Incomplete),0.2107843137254902,True,,False,True
Accoount 3013,No Address Found,Big Arm,MT,59910,USA,Not_Assigned,Late Adopter,None,None,None,None,None,Concerning,Not_Assigned,Low,Medium,Not_Assigned,1c,Partially Profiled (Mixed/Incomplete),0.2359656191243621,True,,False,True
